item_id,decade,category,subcategory,color,material,condition,pattern,related,description,size,price,url
1054,1980,jackets,sweatsuit jacket,"burgundy, white",polyester,fair,color block,"1050, 1055, 1053",Run DMC style Hip Hop Track suit jacket,L,83.42,https://i.imgur.com/9cHiOpn.png
1055,1980,pants,sweatsuit pants,"burgundy, white",polyester,fair,color block,"1054, 1050, 1053",Run DMC style Hip Hop Track suit pants,L,85.87,https://i.imgur.com/9QvvmiD.png
1056,1950,footwear,flats,"royal blue, gold","metal, leather",good,solid,,ballet flats with horsebit accent,7,63.89,https://i.imgur.com/5XyOoUk.png
1057,1950,footwear,flats,kelly green ,"leather, cotton",excellent,soild,1021,ballet flats with grosgrain ribbon accent,7,71.81,https://i.imgur.com/LwcHCFR.png
1058,1950,footwear,oxford,"black, white",leather,good,color block,1020,classic white oxford saddle shoe with black accent,6.5,50.38,https://i.imgur.com/spIGChS.png
1059,1990,footwear,boots,caramel,"suede, sheepskin",good,solid,"1033, 1034",Classic Ugg boot,5,86.57,https://i.imgur.com/mDb19c7.png
1060,1990,footwear,athletic,teal green,leather,excellent,solid,"1010, 1011",teal colored high-top cross triainers,6,52.75,https://i.imgur.com/nfJOygJ.png
1061,1940,footwear,oxford,black,leather,good,solid,"1015, 1016, 1017",Black mid-heel lace up women's oxford,7,31.58,https://i.imgur.com/KeTha89.png
1062,1970,footwear,clog,beige,"suede, metal",excellent,solid,,Birkenstock style clog with side buckle,8,78.31,https://i.imgur.com/s66ALVI.png
1063,1940,footwear,pump,"navy blue, white","leather, metal",good,color block,,spectator pumps with cross strap,8.5,90.41,https://i.imgur.com/usHiD20.png
1064,1940,footwear,pump,"light gray, ice gray","leather, metal",excellent,color block,,spectator pumps with cross strap,8.5,85.49,https://i.imgur.com/9FDWRkk.png
1065,1950,footwear,espadrille,chocolate brown ,"cotton canvas, leather, jute",good,solid,1023,"flat closed toe espadrille with canvas upper, jute sole, and leather ankle straps",7,30.64,https://i.imgur.com/UYmcxgo.png
