item_id,decade,category,subcategory,color,material,condition,pattern,related,description,size,price,url
1012,1980,top,sweatshirt,"cornflower blue, purple, magenta, lime, yellow",cotton ,good,graphic ,1013,sweatshirt with abstract geometric design details,L,69.30,https://i.imgur.com/xWXu9zp.png
1013,1980,pants,shorts,"cornflower blue, purple, magenta, lime, yellow",cotton,good,graphic,1012,shorts with abstract geogmetric design details,L,67.32,https://i.imgur.com/Ypc2Vxe.png
1015,1940,dress,day dress,"mint green, cornflower blue, forest green",rayon,good,floral,1064,"contrasting collar, leatherette belt, and front pocket accent",6,20.90,https://i.imgur.com/fAz513f.png
1016,1940,dress,day dress,"light green, light yellow, white, baby pink",cotton,excellent,floral,1061,"puffed sleeves, shirred waist, notched lapel collar",8,95.47,https://i.imgur.com/eEGcOYM.png
1017,1940,dress,day dress,"baby pink, pink, white","rayon, cotton",good,striped,"1061, 1064","bib front with lace side accents, two front pockets with lace accents",12,36.64,https://i.imgur.com/zt7MDzn.png
1018,1940,dress,day dress,"goldenrod yellow, white",cotton,fair,polka dot,"1061, 1064","short sleeve, notched lapel collar, patent leather belt",10,33.82,https://i.imgur.com/Am7I0OG.png
1019,1940,dress,day dress,"red, white, royal blue",cotton/rayon blend,excellent,striped,1024,"royal blue buttons and belt, breast pockets, notched lapel collar",10,9.59,https://i.imgur.com/rseb1lS.png
1020,1950,dress,party dress,"baby blue, black, white",cotton,fair,polka dot,1058,"double-breasted with four-button bodice, sailor collar, polka dot accents including dickey and internal box pleat fabric",8,79.69,https://i.imgur.com/yUKywcI.png
1021,1950,dress,party dress,"kelly green, white",cotton,excellent,polka dot,1057,"white sailor collar, double-breasted look with four button bodice, circle skirt",M,68.38,https://i.imgur.com/Z4vTg9S.png

1022,1950,dress,party dress,"white, baby pink, red",rayon,good,heart pattern,1025,"shawl collar, three-button bodice, circle skirt",S,71.41,https://i.imgur.com/cE5uCJ4.png
